Week Ending,Federal Provider Number,Provider Name,Provider State,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
01/05/2025,15010,Coosa Valley Healthcare Center,AL,Yes,Yes,0,106,0,2,0,0,0,191,0,69,11,15.942,181,2,1.105
01/05/2025,15012,Highlands Health And Rehab,AL,Yes,Yes,0,59,0,3,0,0,0,109,0,40,15,37.5,66,0,0
01/05/2025,15023,Hatley Health Care Inc,AL,Yes,Yes,0,221,0,26,0,0,0,249,0,91,54,59.341,139,0,0
01/05/2025,15031,Mitchell-Hollingsworth Nursing & Rehabilitation,AL,Yes,Yes,0,374,0,13,0,0,0,483,0,229,53,23.144,421,1,0.238
01/05/2025,15044,"Caregivers Of Pleasant Grove, Inc",AL,Yes,Yes,0,67,0,11,0,0,0,61,0,55,0,0,80,3,3.75
01/05/2025,15045,Eamc Lanier Nursing Home,AL,Yes,Yes,0,113,0,22,0,0,0,142,0,74,68,91.892,146,3,2.055
01/05/2025,15048,Cullman Health Care Center,AL,Yes,Yes,0,112,0,1,0,0,0,159,0,88,48,54.545,128,3,2.344
01/05/2025,15049,Eastern Shore Rehabilitation And Health Center,AL,Yes,Yes,0,121,0,3,0,0,0,96,0,95,12,12.632,111,0,0
01/05/2025,15050,Oak Crest Health & Wellness,AL,Yes,Yes,0,121,0,2,0,0,0,100,0,58,0,0,106,0,0
01/05/2025,15053,Cleburne County Nursing Home,AL,Yes,Yes,0,188,0,25,0,0,0,208,0,71,27,38.028,115,3,2.609
01/05/2025,15060,Ridgeway Rehabilitation & Senior Living,AL,Yes,Yes,0,74,0,4,0,0,0,76,0,52,0,0,70,58,82.857
01/05/2025,15071,Arabella Health & Wellness Of Russellville,AL,Yes,Yes,0,70,0,5,0,0,0,117,0,48,18,37.5,78,0,0
01/05/2025,15073,"Hanceville Nursing & Rehab Center, Inc",AL,Yes,Yes,0,173,0,4,0,0,0,155,0,183,121,66.12,284,32,11.268
01/05/2025,15075,"Summerford Health And Rehab, Llc",AL,Yes,Yes,0,288,0,40,0,0,0,274,0,133,22,16.541,204,0,0
01/05/2025,15076,Fair Haven,AL,Yes,Yes,0,279,0,23,0,0,0,336,0,351,47,13.39,512,1,0.195
01/05/2025,15100,Crowne Health Care Of Mobile,AL,Yes,Yes,0,142,0,9,0,0,0,197,0,142,84,59.155,728,0,0
01/05/2025,15101,Altoona  Health & Rehab,AL,Yes,Yes,0,88,0,5,0,0,0,112,0,49,20,40.816,161,5,3.106
01/05/2025,15104,Southland Nursing Home,AL,Yes,Yes,0,98,0,60,0,0,0,125,0,62,28,45.161,86,1,1.163
01/05/2025,15112,Magnolia Haven Health And Rehabilitation Center,AL,Yes,Yes,0,158,0,5,0,0,0,151,0,80,1,1.25,94,2,2.128
01/05/2025,15116,Signature Healthcare Of Whitesburg Gardens,AL,Yes,Yes,0,268,0,12,0,0,0,159,0,98,22,22.449,148,36,24.324
01/05/2025,15119,Arabella Health And Wellness Of Selma,AL,Yes,Yes,0,182,0,5,0,0,0,105,0,131,57,43.511,155,0,0
01/05/2025,15126,Traylor Retirement Community,AL,Yes,Yes,0,141,0,10,0,0,0,137,0,77,5,6.494,154,1,0.649
01/05/2025,15128,"Nhc Healthcare, Moulton",AL,Yes,Yes,0,458,0,45,0,0,0,352,0,117,57,48.718,153,2,1.307
01/05/2025,15129,Atmore Nursing Center,AL,Yes,Yes,1,181,0,12,0,0,0,153,0,83,17,20.482,109,1,0.917
01/05/2025,15137,Aliceville Manor Nursing Home,AL,Yes,Yes,0,187,0,18,0,0,0,192,0,86,48,55.814,121,9,7.438
01/05/2025,15141,Arbor Woods Health And Rehab,AL,Yes,Yes,0,119,0,0,0,0,0,118,0,51,29,56.863,99,14,14.141
01/05/2025,15143,Forest Manor Health And Rehab,AL,Yes,Yes,0,246,0,35,0,0,0,149,0,149,48,32.215,212,10,4.717
01/05/2025,15145,Diversicare Of Riverchase,AL,Yes,Yes,0,250,0,24,0,0,0,143,0,119,10,8.403,130,26,20
01/05/2025,15149,Sunset Manor,AL,Yes,Yes,0,124,0,12,0,0,0,53,0,64,33,51.563,116,0,0
01/05/2025,15150,Wiregrass Rehabilitation Center & Nursing Home,AL,Yes,Yes,0,127,0,17,0,0,0,272,0,64,32,50,150,0,0
01/05/2025,15151,Arabella Health & Wellness Of Mobile,AL,Yes,Yes,0,112,0,5,0,0,0,106,0,78,20,25.641,119,3,2.521
01/05/2025,15152,Extendicare Health Center,AL,Yes,Yes,0,218,0,28,0,0,0,420,0,165,112,67.879,274,2,0.73
